
  construction Description: Concrete Masonry  ,  constructionCode: 2
  construction Description: Joisted Masonry = 2  ,  constructionCode: 2
  construction Description: Joisted
Masonry  ,  constructionCode: 2
  construction Description: Non Combustible  ,  constructionCode: 4
  construction Description: Light Non Combustible  ,  constructionCode: 4
  construction Description: Non combustible  ,  constructionCode: 4
  construction Description: Masonry   Non Combustible  ,  constructionCode: 4
  construction Description: Masonry/Non Combustible  ,  constructionCode: 4
  construction Description: Masonry  Non Combustible  ,  constructionCode: 4
  construction Description: Non Combustible = 3  ,  constructionCode: 4
  construction Description: Masonry Non Combustible = 4  ,  constructionCode: 4
  construction Description: Non Combustible = 4  ,  constructionCode: 4
  construction Description: Masonry Non combustible  ,  constructionCode: 4
  construction Description: ISO 4  Masonry Non Combustible  ,  constructionCode: 4
  construction Description: ISO 4 Masonry Non Combustible  ,  constructionCode: 4
  construction Description: frame  ,  constructionCode: 1
  construction Description: Frame = 1  ,  constructionCode: 1
  construction Description: Light Non Combustible  ,  constructionCode: 3
  construction Description: Masonry Non Combustible  ,  constructionCode: 3
  construction Description: Non combustible  ,  constructionCode: 3
  construction Description: Masonry   Non Combustible  ,  constructionCode: 3
  construction Description: Masonry/Non Combustible  ,  constructionCode: 3
  construction Description: Masonry  Non Combustible  ,  constructionCode: 3
  construction Description: Non Combustible = 3  ,  constructionCode: 3
  construction Description: Masonry Non Combustible = 4  ,  constructionCode: 3
  construction Description: Non Combustible = 4  ,  constructionCode: 3
  construction Description: Masonry Non combustible  ,  constructionCode: 3
  construction Description: combustible  ,  constructionCode: 3
  construction Description: Non combustible  Metal  ,  constructionCode: 3
  construction Description: Concrete Tilt Wall  ,  constructionCode: 4
  construction Description: Concrete T ilt Wall  ,  constructionCode: 4
  construction Description: Concrete tilt up  ,  constructionCode: 4
  construction Description: Concrete tilt up & Steel  ,  constructionCode: 4
  construction Description: concrete tilt Wall  ,  constructionCode: 4
  construction Description: Concrete tilt wall  ,  constructionCode: 4
  construction Description: Concrete Tilt  ,  constructionCode: 4
  construction Description: Concrete/Tilt Up  ,  constructionCode: 4
  construction Description: Concrete Tilt up  ,  constructionCode: 4
  construction Description: concrete Tilt up  ,  constructionCode: 4
  construction Description: concrete tilt up  ,  constructionCode: 4
  construction Description: Non Combustible  ,  constructionCode: 1
  construction Description: Non combustible  ,  constructionCode: 1
  construction Description: Non Combustible = 3  ,  constructionCode: 1
  construction Description: Non Combustible = 4  ,  constructionCode: 1
  construction Description: combustible  ,  constructionCode: 1
  construction Description: Concrete  ,  constructionCode: 1
  construction Description: Concrete Panels & Steel  ,  constructionCode: 1
  construction Description: Concrete Block & Steel  ,  constructionCode: 1
  construction Description: Concrete/Metal  ,  constructionCode: 1
  construction Description: Concrete Block / Steel  ,  constructionCode: 1
  construction Description: concrete & steel  ,  constructionCode: 1
  construction Description: concrete  steel  ,  constructionCode: 1
  construction Description: Concrete  steel rack  ,  constructionCode: 1
  construction Description: Concrete Steel  ,  constructionCode: 1
  construction Description: Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete & Steel Frame  ,  constructionCode: 1
  construction Description: Poured Concrete
Steel  ,  constructionCode: 1
  construction Description: Concrete/Wood  ,  constructionCode: 1
  construction Description: Concrete Steel  ,  constructionCode: 1
  construction Description: Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete Block  ,  constructionCode: 1
  construction Description: Concrete/Metal  ,  constructionCode: 1
  construction Description: Concrete Tilt  ,  constructionCode: 1
  construction Description: Steel/Concrete  ,  constructionCode: 1
  construction Description: Concrete/Wood  ,  constructionCode: 1
  construction Description: concrete  ,  constructionCode: 1
  construction Description: Concrete block  ,  constructionCode: 1
  construction Description: Concrete wood  ,  constructionCode: 1
  construction Description: Concrete Steel  ,  constructionCode: 1
  construction Description: Concrete
Stucco  ,  constructionCode: 1
  construction Description: Steel Concrete  ,  constructionCode: 1
  construction Description: block concrete  ,  constructionCode: 1
  construction Description: Bricks concrete  ,  constructionCode: 1
  construction Description: MFR  ,  constructionCode: 6
  construction Description: metal  ,  constructionCode: 3
  construction Description: Brick  ,  constructionCode: 1
  construction Description: Steel Block  ,  constructionCode: 4
  construction Description: Steel / Brick  ,  constructionCode: 4
  construction Description: Metal Brick  ,  constructionCode: 4
  construction Description: Steel Structure Brick  ,  constructionCode: 4
  construction Description: Non Combustible  ,  constructionCode: 3
  construction Description: Light Non Combustible  ,  constructionCode: 3
  construction Description: Masonry Non Combustible  ,  constructionCode: 3
  construction Description: Non combustible  ,  constructionCode: 3
  construction Description: Masonry   Non Combustible  ,  constructionCode: 3
  construction Description: Masonry/Non Combustible  ,  constructionCode: 3
  construction Description: Masonry  Non Combustible  ,  constructionCode: 3
  construction Description: Non Combustible = 3  ,  constructionCode: 3
  construction Description: Non Combustible = 4  ,  constructionCode: 3
  construction Description: Masonry Non combustible  ,  constructionCode: 3
  construction Description: combustible  ,  constructionCode: 3
  construction Description: Non combustible  Metal  ,  constructionCode: 3
  construction Description: Concrete  ,  constructionCode: 1
