
  construction Description: Metal/Masonry  ,  constructionCode: 2
  construction Description: Block Masonry Steel  ,  constructionCode: 2
  construction Description: Block  Masonry  Steel  ,  constructionCode: 2
  construction Description: Masonry  ,  constructionCode: 2
  construction Description: Wood Frame/
Masonry  ,  constructionCode: 2
  construction Description: Masonry/Steel  ,  constructionCode: 2
  construction Description: Concrete/
Masonry  ,  constructionCode: 2
  construction Description: concrete masonry block  ,  constructionCode: 2
  construction Description: brick masonry  ,  constructionCode: 2
  construction Description: Masonry steel  ,  constructionCode: 2
  construction Description: masonry  ,  constructionCode: 2
  construction Description: CMU/masonry  ,  constructionCode: 2
  construction Description: brick concrete masonry  ,  constructionCode: 2
  construction Description: Metal / Masonry  ,  constructionCode: 2
  construction Description: Metal & Masonry  ,  constructionCode: 2
  construction Description: Concrete masonry wall  ,  constructionCode: 2
  construction Description: Wood Frame
EFIS Masonry  ,  constructionCode: 2
  construction Description: Steel/
Masonry  ,  constructionCode: 2
  construction Description: Block  Masonry  Steel  ,  constructionCode: 4
  construction Description: Masonry/Steel  ,  constructionCode: 4
  construction Description: Masonry / Brick  ,  constructionCode: 4
  construction Description: masonry brick  ,  constructionCode: 4
  construction Description: Maonry wood  ,  constructionCode: 4
  construction Description: Masonry steel  ,  constructionCode: 4
  construction Description: masonry concrete slab  ,  constructionCode: 4
  construction Description: masonry block  ,  constructionCode: 4
  construction Description: Non combustible  |Remodeled 1966  ,  constructionCode: 4
  construction Description: Masonry Tilt Wall  ,  constructionCode: 4
  construction Description: combustible  ,  constructionCode: 4
  construction Description: Non Comb/Metal  ,  constructionCode: 4
  construction Description: Masonry & Metal  ,  constructionCode: 4
  construction Description: Non combustible  Metal  ,  constructionCode: 4
  construction Description: Masonry structure
FR  ,  constructionCode: 4
  construction Description: #1 Wood Frame  ,  constructionCode: 1
  construction Description: Wood Frame  ,  constructionCode: 1
  construction Description: Metal Frame  ,  constructionCode: 1
  construction Description: wood frame  ,  constructionCode: 1
  construction Description: Wood frame  ,  constructionCode: 1
  construction Description: metal frame  ,  constructionCode: 1
  construction Description: frame brick  ,  constructionCode: 1
  construction Description: frame block  ,  constructionCode: 1
  construction Description: Steel Frame  ,  constructionCode: 1
  construction Description: combustible  |WOOD FRAME  ,  constructionCode: 3
  construction Description: Non Combustible   |online sq. ft. 3298  ,  constructionCode: 3
  construction Description: Non combustible  |Remodeled 1966  ,  constructionCode: 3
  construction Description: Non Comb/Metal  ,  constructionCode: 3
  construction Description: Non Comb/Wood  ,  constructionCode: 3
  construction Description: ISO 4  Masonry Non Combustible  ,  constructionCode: 3
  construction Description: ISO 4 Masonry Non Combustible  ,  constructionCode: 3
  construction Description: Concrete  ,  constructionCode: 4
  construction Description: Concrete Panels & Steel  ,  constructionCode: 4
  construction Description: Concrete Block  ,  constructionCode: 4
  construction Description: Concrete Block & Steel  ,  constructionCode: 4
  construction Description: Precast Concrete & Steel  ,  constructionCode: 4
  construction Description: Concrete Masonry  ,  constructionCode: 4
  construction Description: Concrete/Metal  ,  constructionCode: 4
  construction Description: Tilt up Concrete  ,  constructionCode: 4
  construction Description: Concrete wall  Metal Roof  ,  constructionCode: 4
  construction Description: Concrete Block / Steel  ,  constructionCode: 4
  construction Description: Concrete & Frame  ,  constructionCode: 4
  construction Description: Steel/Concrete  ,  constructionCode: 4
  construction Description: Tilt Up  ,  constructionCode: 4
  construction Description: Concrete/Wood  ,  constructionCode: 4
  construction Description: Concrete & Metal Shed  ,  constructionCode: 4
  construction Description: concrete  ,  constructionCode: 4
  construction Description: concrete block steel frame  ,  constructionCode: 4
  construction Description: Brick concrete block  ,  constructionCode: 4
  construction Description: concrete block  ,  constructionCode: 4
  construction Description: concrete brick  ,  constructionCode: 4
  construction Description: Concrete block  ,  constructionCode: 4
  construction Description: concrete slab / steel frame  ,  constructionCode: 4
  construction Description: concrete cinder block  ,  constructionCode: 4
  construction Description: concrete/brick  ,  constructionCode: 4
  construction Description: wood concrete block  ,  constructionCode: 4
  construction Description: concrete block brick  ,  constructionCode: 4
  construction Description: concrete block / flat roof  ,  constructionCode: 4
  construction Description: Concrete block wood frame  ,  constructionCode: 4
  construction Description: Concrete block  cement floor  ,  constructionCode: 4
  construction Description: concrete stucco  ,  constructionCode: 4
  construction Description: concrete slab/brick  ,  constructionCode: 4
  construction Description: Concrete wood  ,  constructionCode: 4
  construction Description: concrete block & stucco  ,  constructionCode: 4
  construction Description: concrete block vinyl façade  ,  constructionCode: 4
  construction Description: concrete sheetrock  ,  constructionCode: 4
  construction Description: Concrete block exterior flat roof  ,  constructionCode: 4
  construction Description: concrete/cinderblock  ,  constructionCode: 4
  construction Description: Concrete Tilt Wall   ESFR   /Mezzanine  ,  constructionCode: 4
  construction Description: Masonry Tilt Wall  ,  constructionCode: 4
